Num_Acc,dep,cluster_kmeans,cluster_bisecting,cluster_gmm
202400000001,70,3,3,3
202400000002,21,2,2,2
202400000003,15,0,1,0
202400000004,14,2,2,2
202400000005,13,0,3,4
202400000006,13,0,1,3
202400000007,13,0,0,0
202400000008,07,2,2,2
202400000009,07,0,1,3
202400000010,06,0,1,3
202400000011,75,0,1,3
202400000012,75,0,1,3
202400000013,75,2,2,2
202400000014,75,2,2,2
202400000015,75,2,2,2
202400000016,75,2,2,2
202400000017,75,2,2,2
202400000018,75,2,2,2
202400000019,75,2,2,2
202400000020,94,0,0,3
202400000021,94,2,0,2
202400000022,51,1,3,4
202400000023,51,2,2,2
202400000024,47,0,1,3
202400000025,45,2,0,4
202400000026,45,2,2,2
202400000027,44,2,2,2
202400000028,44,2,2,2
202400000029,42,2,2,2
202400000030,37,2,2,2
202400000031,35,0,1,3
202400000032,34,2,2,2
202400000033,34,2,2,2
202400000034,33,0,1,3
202400000035,33,2,2,2
202400000036,33,2,2,2
202400000037,29,2,0,4
202400000038,29,1,3,4
202400000039,28,2,2,2
202400000040,27,2,0,4
202400000041,76,0,1,3
202400000042,59,1,3,4
202400000043,94,2,2,2
202400000044,13,1,3,4
202400000045,92,2,2,2
202400000046,83,1,3,4
202400000047,92,2,2,2
202400000048,33,4,4,4
202400000049,35,3,3,4
202400000050,91,3,3,4
202400000051,972,3,3,3
202400000052,94,4,4,4
202400000053,22,1,4,4
202400000054,94,1,3,4
202400000055,92,1,3,4
202400000056,78,1,3,4
202400000057,62,2,0,4
202400000058,95,4,4,4
202400000059,83,1,3,4
202400000060,95,4,4,4
202400000061,35,3,4,3
202400000062,51,0,0,0
202400000063,94,4,4,4
202400000064,67,2,0,4
202400000065,77,3,3,4
202400000066,61,0,0,3
202400000067,47,4,4,4
202400000068,54,0,1,3
202400000069,34,1,3,4
202400000070,22,1,3,4
202400000071,988,0,1,3
202400000072,54,0,0,3
202400000073,987,2,2,2
202400000074,974,0,1,0
202400000075,72,2,2,2
202400000076,974,0,0,3
